session_id,sheet_name,turn_id,turn_index,needs_history,evaluated,long_range,dependency_type,max_lookback,dependency_distances,gold_turn_ids,required_context,error,build_total_ms,retrieve_context_ms,cross_session_leak_turn_ids,future_turn_leak_turn_ids,cross_session_leak_count,future_turn_leak_count,short_retrieved_turn_ids,mid_page_retrieved_turn_ids,mid_session_retrieved_turn_ids,mid_retrieved_turn_ids,long_retrieved_turn_ids,mid_long_retrieved_turn_ids,all_retrieved_turn_ids,add_submit_ms,migration_job_id,profile_job_id,evicted_turn_ids,short_recall,short_precision,short_hit,short_full_recall,short_mrr,short_gold_count,short_retrieved_count,short_matched_count,mid_page_recall,mid_page_precision,mid_page_hit,mid_page_full_recall,mid_page_mrr,mid_page_gold_count,mid_page_retrieved_count,mid_page_matched_count,mid_session_recall,mid_session_precision,mid_session_hit,mid_session_full_recall,mid_session_mrr,mid_session_gold_count,mid_session_retrieved_count,mid_session_matched_count,mid_recall,mid_precision,mid_hit,mid_full_recall,mid_mrr,mid_gold_count,mid_retrieved_count,mid_matched_count,long_recall,long_precision,long_hit,long_full_recall,long_mrr,long_gold_count,long_retrieved_count,long_matched_count,mid_long_recall,mid_long_precision,mid_long_hit,mid_long_full_recall,mid_long_mrr,mid_long_gold_count,mid_long_retrieved_count,mid_long_matched_count,all_recall,all_precision,all_hit,all_full_recall,all_mrr,all_gold_count,all_retrieved_count,all_matched_count
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q001,0,False,False,False,独立问题,0,,,无需前文；当前问题可独立回答,,5514.638938999269,5514.470939000603,,,0,0,,,,,,,,15.16049899510108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q002,1,True,False,False,相邻承接,1,1,S006-Q001,S006-Q001提供当前问题所指向的前序结论或事实依据,,44.92869699606672,44.748897998942994,,,0,0,S006-Q001,,,,,,S006-Q001,10.733899995102547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q003,2,True,False,False,相邻承接,1,1,S006-Q002,S006-Q002提供当前问题所指向的前序结论或事实依据,,112.28679300984368,111.9765930052381,,,0,0,S006-Q001|S006-Q002,,,,,,S006-Q001|S006-Q002,13.552599004469812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q004,3,True,False,False,相邻承接,1,1,S006-Q003,S006-Q003提供当前问题所指向的前序结论或事实依据,,61.87989599129651,61.47869600681588,,,0,0,S006-Q001|S006-Q002|S006-Q003,,,,,,S006-Q001|S006-Q002|S006-Q003,13.685498997801915,4398d3c1-2902-4281-a508-951617df9968,,S006-Q001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q005,4,True,False,False,相邻承接,1,1,S006-Q004,S006-Q004提供当前问题所指向的前序结论或事实依据,,637.241358999745,636.901759004104,,,0,0,S006-Q001|S006-Q002|S006-Q003|S006-Q004,,,,,,S006-Q001|S006-Q002|S006-Q003|S006-Q004,19.24379900447093,238648b8-0582-4920-9719-866f35a6a179,,S006-Q002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q006,5,True,True,True,历史回溯,5,5,S006-Q001,S006-Q001提供五轮前关于【先帮我梳理一下宁德时代2023—2025年的主要财务变化】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,79.51529900310561,78.90429899271112,,,0,0,S006-Q003|S006-Q004|S006-Q005,S006-Q001|S006-Q002,S006-Q001|S006-Q002,S006-Q001|S006-Q002,S006-Q001|S006-Q002,S006-Q001|S006-Q002,S006-Q003|S006-Q004|S006-Q005|S006-Q001|S006-Q002,12.343698996119201,528b512f-9319-43f6-940f-13189b709fe5,,S006-Q003,0.0,0.0,0,0,0.0,1,3,0,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.5,1,1,1.0,1,2,1,1.0,0.2,1,1,0.25,1,5,1
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q007,6,True,False,False,相邻承接,1,1,S006-Q006,S006-Q006提供当前问题所指向的前序结论或事实依据,,102.89349900267553,101.91559899249114,,,0,0,S006-Q003|S006-Q004|S006-Q005|S006-Q006,S006-Q002|S006-Q001,S006-Q001|S006-Q002,S006-Q002|S006-Q001,S006-Q001|S006-Q002,S006-Q002|S006-Q001,S006-Q003|S006-Q004|S006-Q005|S006-Q006|S006-Q002|S006-Q001,18.56880000559613,9e558e4d-decf-4531-836e-2e6db62394df,,S006-Q004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q008,7,True,True,True,历史回溯,5,5,S006-Q003,S006-Q003提供五轮前关于【口径确认后，把刚才提到的关键指标逐年列出来，哪一年变化最明显】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,73.8576000003377,73.06680000328925,,,0,0,S006-Q005|S006-Q006|S006-Q007,S006-Q004|S006-Q003|S006-Q002|S006-Q001,S006-Q001|S006-Q002|S006-Q003|S006-Q004,S006-Q004|S006-Q003|S006-Q002|S006-Q001,S006-Q002|S006-Q003|S006-Q001|S006-Q004,S006-Q004|S006-Q003|S006-Q002|S006-Q001,S006-Q005|S006-Q006|S006-Q007|S006-Q004|S006-Q003|S006-Q002|S006-Q001,12.239399991813116,3c5dd19d-ce48-4c37-b649-762e2523bdd0,,S006-Q005,0.0,0.0,0,0,0.0,1,3,0,1.0,0.25,1,1,0.5,1,4,1,1.0,0.25,1,1,0.3333333333333333,1,4,1,1.0,0.25,1,1,0.5,1,4,1,1.0,0.25,1,1,0.5,1,4,1,1.0,0.25,1,1,0.5,1,4,1,1.0,0.14285714285714285,1,1,0.2,1,7,1
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q009,8,True,False,False,相邻承接,1,1,S006-Q008,S006-Q008提供当前问题所指向的前序结论或事实依据,,90.62099999573547,89.82860000105575,,,0,0,S006-Q005|S006-Q006|S006-Q007|S006-Q008,S006-Q004|S006-Q003|S006-Q002|S006-Q001,S006-Q001|S006-Q002|S006-Q003|S006-Q004,S006-Q004|S006-Q003|S006-Q002|S006-Q001,S006-Q001|S006-Q004,S006-Q004|S006-Q003|S006-Q002|S006-Q001,S006-Q005|S006-Q006|S006-Q007|S006-Q008|S006-Q004|S006-Q003|S006-Q002|S006-Q001,10.648099996615201,7ab26fa1-3b7d-4537-95b2-ae6621c6ed7b,,S006-Q006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S006_宁德时代_审委,S006_宁德时代_审委,S006-Q010,9,True,True,True,历史回溯,5,5,S006-Q005,S006-Q005提供五轮前关于【如果识别出了拐点，它主要发生在2024年还是2025年】的已确认结论、三年原数及口径限制；缺少该信息无法完成本轮要求的跨轮对照与结论承接。,,131.00869100890122,130.2279920055298,,,0,0,S006-Q007|S006-Q008|S006-Q009,S006-Q005|S006-Q006|S006-Q001|S006-Q003|S006-Q002,S006-Q001|S006-Q002|S006-Q003|S006-Q004|S006-Q005|S006-Q006,S006-Q005|S006-Q006|S006-Q001|S006-Q003|S006-Q002|S006-Q004,S006-Q006|S006-Q002|S006-Q005,S006-Q005|S006-Q006|S006-Q001|S006-Q003|S006-Q002|S006-Q004,S006-Q007|S006-Q008|S006-Q009|S006-Q005|S006-Q006|S006-Q001|S006-Q003|S006-Q002|S006-Q004,15.82869898993522,39472c0f-1d8f-47b9-ab1b-947b0e60b526,,S006-Q007,0.0,0.0,0,0,0.0,1,3,0,1.0,0.2,1,1,1.0,1,5,1,1.0,0.16666666666666666,1,1,0.2,1,6,1,1.0,0.16666666666666666,1,1,1.0,1,6,1,1.0,0.3333333333333333,1,1,0.3333333333333333,1,3,1,1.0,0.16666666666666666,1,1,1.0,1,6,1,1.0,0.1111111111111111,1,1,0.25,1,9,1
