session_id,source_turn_id,add_variant,focus,user_task_overlap,direct_assistant_overlap,assistant_background_overlap,audit_method
S001,S001-Q001,Old,MIXED,0.18811881188118812,0.9702970297029703,0.9603960396039604,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q001,A1,MIXED,0.25,0.9861111111111112,0.9861111111111112,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q001,A2,MIXED,0.19148936170212766,0.9468085106382979,0.9680851063829787,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q001,A3,MIXED,0.1875,0.9375,0.9791666666666666,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q002,Old,MIXED,0.23484848484848486,0.8863636363636364,0.9393939393939394,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q002,A1,MIXED,0.39655172413793105,1.0,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q002,A2,MIXED,0.3582089552238806,1.0,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q002,A3,MIXED,0.2891566265060241,0.9518072289156626,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q003,Old,MIXED,0.23255813953488372,0.937984496124031,0.9844961240310077,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q003,A1,MIXED,0.2619047619047619,0.9880952380952381,0.9880952380952381,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q003,A2,MIXED,0.27710843373493976,0.9879518072289156,0.9879518072289156,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q003,A3,MIXED,0.29896907216494845,0.9690721649484536,0.9896907216494846,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q004,Old,MIXED,0.25252525252525254,0.9494949494949495,0.9797979797979798,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q004,A1,MIXED,0.31645569620253167,0.9620253164556962,0.9620253164556962,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q004,A2,MIXED,0.2676056338028169,1.0,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q004,A3,MIXED,0.2696629213483146,0.9325842696629213,0.9887640449438202,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q005,Old,MIXED,0.2231404958677686,0.9586776859504132,0.9752066115702479,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q005,A1,MIXED,0.4489795918367347,0.9795918367346939,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q005,A2,MIXED,0.24050632911392406,0.9746835443037974,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q005,A3,MIXED,0.3013698630136986,0.9452054794520548,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q006,Old,MIXED,0.19594594594594594,0.9594594594594594,0.9797297297297297,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q006,A1,MIXED,0.22666666666666666,0.9733333333333334,0.9866666666666667,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q006,A2,MIXED,0.24691358024691357,1.0,0.9753086419753086,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q006,A3,MIXED,0.26436781609195403,0.9540229885057471,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q007,Old,MIXED,0.22388059701492538,0.9253731343283582,0.9850746268656716,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q007,A1,MIXED,0.3333333333333333,0.9615384615384616,0.9871794871794872,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q007,A2,MIXED,0.27884615384615385,0.9807692307692307,0.9903846153846154,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q007,A3,MIXED,0.22935779816513763,0.8807339449541285,0.981651376146789,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q008,Old,MIXED,0.26851851851851855,0.9537037037037037,0.9722222222222222,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q008,A1,MIXED,0.4025974025974026,0.9090909090909091,0.961038961038961,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q008,A2,MIXED,0.2894736842105263,0.9210526315789473,0.9605263157894737,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q008,A3,MIXED,0.3218390804597701,0.9195402298850575,0.9655172413793104,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q009,Old,MIXED,0.20224719101123595,0.9438202247191011,0.9775280898876404,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q009,A1,MIXED,0.3181818181818182,1.0,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q009,A2,MIXED,0.27692307692307694,1.0,0.9846153846153847,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q009,A3,MIXED,0.20930232558139536,0.9302325581395349,0.9651162790697675,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q010,Old,MIXED,0.15306122448979592,0.9693877551020408,0.9693877551020408,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q010,A1,MIXED,0.2898550724637681,0.9855072463768116,0.9710144927536232,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q010,A2,MIXED,0.24561403508771928,0.9824561403508771,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q010,A3,MIXED,0.16964285714285715,0.9375,0.9910714285714286,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q011,Old,MIXED,0.20930232558139536,0.937984496124031,0.9689922480620154,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q011,A1,MIXED,0.3561643835616438,0.9726027397260274,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q011,A2,MIXED,0.3373493975903614,0.9879518072289156,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q011,A3,MIXED,0.25742574257425743,0.9207920792079208,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q012,Old,MIXED,0.19834710743801653,0.9586776859504132,0.9834710743801653,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q012,A1,MIXED,0.32894736842105265,0.9473684210526315,0.9868421052631579,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q012,A2,MIXED,0.2159090909090909,0.9772727272727273,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q012,A3,MIXED,0.24210526315789474,0.9368421052631579,0.9894736842105263,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q013,Old,MIXED,0.2,0.9666666666666667,0.9916666666666667,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q013,A1,MIXED,0.2857142857142857,1.0,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
S001,S001-Q013,A2,MIXED,0.23863636363636365,1.0,1.0,"summary token coverage against User, Assistant direct-answer window, and Assistant background"
