session_id,source_turn_id,has_dependency_signal,dependency_type,Old_preserved,Old_keyword_covered,A1_preserved,A1_keyword_covered,A2_preserved,A2_keyword_covered,A3_preserved,A3_keyword_covered
S001,S001-Q001,False,[],,,,,,,,
S001,S001-Q002,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",False,False,False,False,True,True,False,False
S001,S001-Q003,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S001,S001-Q004,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S001,S001-Q005,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S001,S001-Q006,True,"[""EARLIER_CONTEXT"", ""CONTINUATION"", ""REVISION""]",True,False,True,True,True,True,False,False
S001,S001-Q007,True,"[""PREVIOUS_TURN""]",True,False,True,False,True,True,True,False
S001,S001-Q008,True,"[""EARLIER_CONTEXT""]",False,False,True,False,True,True,False,False
S001,S001-Q009,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",False,False,False,False,True,True,True,False
S001,S001-Q010,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",True,False,False,False,True,True,True,False
S001,S001-Q011,True,"[""EARLIER_CONTEXT""]",False,False,False,False,True,True,False,False
S001,S001-Q012,True,"[""PREVIOUS_TURN"", ""REVISION""]",True,False,True,True,True,True,True,True
S001,S001-Q013,True,"[""PREVIOUS_TURN""]",True,False,False,False,True,True,True,False
S001,S001-Q014,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",False,False,False,False,True,True,True,False
S001,S001-Q015,True,"[""EARLIER_CONTEXT""]",False,False,True,False,True,True,False,False
S001,S001-Q016,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S001,S001-Q017,True,"[""EARLIER_CONTEXT"", ""REVISION""]",True,True,True,True,True,True,True,True
S001,S001-Q018,True,"[""PREVIOUS_TURN""]",True,True,True,True,True,True,True,True
S001,S001-Q019,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""REVISION""]",True,True,True,True,True,True,True,True
S001,S001-Q020,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",False,False,True,False,True,True,False,False
S001,S001-Q021,True,"[""PREVIOUS_TURN""]",True,False,False,False,True,True,True,False
S001,S001-Q022,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S001,S001-Q023,True,"[""PREVIOUS_TURN""]",True,False,True,False,True,True,False,False
S001,S001-Q024,True,"[""CONTINUATION""]",False,False,False,False,True,True,True,False
S001,S001-Q025,True,"[""PREVIOUS_TURN""]",False,False,True,True,True,True,False,False
S001,S001-Q026,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",False,False,True,False,True,True,False,False
S001,S001-Q027,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S001,S001-Q028,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",True,True,True,True,True,True,True,True
S001,S001-Q029,True,"[""PREVIOUS_TURN"", ""REVISION""]",False,False,True,True,True,True,True,True
S001,S001-Q030,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""REVISION""]",True,True,True,True,True,True,True,True
S001,S001-Q031,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT""]",False,False,False,False,True,True,True,False
S001,S001-Q032,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S001,S001-Q033,True,"[""PREVIOUS_TURN""]",False,False,True,False,True,True,False,False
S001,S001-Q034,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",False,False,False,False,True,True,False,False
S001,S001-Q035,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""REVISION""]",True,False,True,True,True,True,True,True
S001,S001-Q036,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",True,False,True,False,True,True,True,False
S001,S001-Q037,True,"[""EARLIER_CONTEXT""]",False,True,True,True,True,True,True,True
S001,S001-Q038,True,"[""PREVIOUS_TURN""]",False,False,True,True,True,True,True,True
S001,S001-Q039,True,"[""EARLIER_CONTEXT""]",False,False,True,False,True,True,False,False
S001,S001-Q040,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",True,False,True,False,True,True,True,False
S001,S001-Q041,True,"[""EARLIER_CONTEXT""]",False,False,True,True,True,True,True,False
S001,S001-Q042,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",True,False,True,False,True,True,False,False
S001,S001-Q043,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,True,False
S001,S001-Q044,True,"[""PREVIOUS_TURN""]",False,False,True,True,True,True,False,False
S001,S001-Q045,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",True,False,False,False,True,True,False,False
S001,S001-Q046,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""CONTINUATION"", ""REVISION""]",True,False,True,True,True,True,True,True
S001,S001-Q047,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""REVISION""]",True,True,True,True,True,True,True,True
S002,S002-Q001,False,[],,,,,,,,
S002,S002-Q002,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",True,False,False,False,True,False,False,False
S002,S002-Q003,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,False,False,False
S002,S002-Q004,True,"[""PREVIOUS_TURN"", ""REVISION""]",True,False,True,True,True,True,True,True
S002,S002-Q005,True,"[""PREVIOUS_TURN""]",False,False,True,True,True,True,False,False
S002,S002-Q006,True,"[""EARLIER_CONTEXT"", ""REVISION""]",False,False,True,True,True,True,True,False
S002,S002-Q007,True,"[""PREVIOUS_TURN""]",True,False,True,False,True,True,True,False
S002,S002-Q008,True,"[""EARLIER_CONTEXT""]",False,False,False,False,True,True,True,False
S002,S002-Q009,True,"[""EARLIER_CONTEXT"", ""CONTINUATION"", ""REVISION""]",True,False,True,True,True,True,True,True
S002,S002-Q010,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S002,S002-Q011,True,"[""EARLIER_CONTEXT""]",False,False,True,False,True,True,True,False
S002,S002-Q012,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S002,S002-Q013,True,"[""PREVIOUS_TURN""]",True,False,False,False,True,True,True,False
S002,S002-Q014,True,"[""PREVIOUS_TURN""]",False,False,True,False,True,True,False,False
S002,S002-Q015,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",True,False,False,False,True,True,False,False
S002,S002-Q016,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""CONTINUATION"", ""REVISION""]",True,False,True,True,True,True,True,True
S002,S002-Q017,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""REVISION""]",True,True,True,True,True,True,True,True
S002,S002-Q018,True,"[""EARLIER_CONTEXT""]",False,False,True,False,True,True,True,True
S002,S002-Q019,True,"[""PREVIOUS_TURN""]",False,False,True,False,True,True,False,False
S002,S002-Q020,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",True,False,False,False,True,True,True,False
S002,S002-Q021,True,"[""EARLIER_CONTEXT""]",False,False,False,False,True,True,False,False
S002,S002-Q022,True,"[""PREVIOUS_TURN"", ""REVISION""]",True,True,True,True,True,True,True,True
S002,S002-Q023,True,"[""PREVIOUS_TURN""]",True,False,False,False,True,True,True,False
S002,S002-Q024,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",False,False,True,True,True,True,False,False
S002,S002-Q025,True,"[""EARLIER_CONTEXT""]",False,False,False,False,True,True,False,False
S002,S002-Q026,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S002,S002-Q027,True,"[""EARLIER_CONTEXT"", ""REVISION""]",True,False,True,True,True,True,True,True
S002,S002-Q028,True,"[""PREVIOUS_TURN""]",True,False,True,True,True,True,True,True
S002,S002-Q029,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""REVISION""]",True,True,True,True,True,True,True,True
S002,S002-Q030,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",False,False,True,True,True,True,True,False
S002,S002-Q031,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,True,False
S002,S002-Q032,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S002,S002-Q033,True,"[""PREVIOUS_TURN""]",True,False,True,True,True,False,True,False
S002,S002-Q034,True,"[""CONTINUATION""]",False,False,False,False,True,True,False,False
S002,S002-Q035,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S002,S002-Q036,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",False,False,True,False,True,True,False,False
S002,S002-Q037,True,"[""PREVIOUS_TURN""]",False,False,True,False,True,True,False,False
S002,S002-Q038,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",True,True,True,True,True,True,True,True
S002,S002-Q039,True,"[""PREVIOUS_TURN"", ""REVISION""]",False,False,True,False,True,True,True,True
S002,S002-Q040,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""REVISION""]",True,True,True,True,True,True,True,True
S002,S002-Q041,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT""]",True,False,True,True,True,True,True,False
S002,S002-Q042,True,"[""PREVIOUS_TURN""]",False,False,False,False,True,True,False,False
S002,S002-Q043,True,"[""PREVIOUS_TURN""]",True,False,True,False,True,True,False,False
S002,S002-Q044,True,"[""EARLIER_CONTEXT"", ""CONTINUATION""]",False,False,False,False,True,True,False,False
S002,S002-Q045,True,"[""PREVIOUS_TURN"", ""EARLIER_CONTEXT"", ""REVISION""]",True,False,True,True,True,True,True,True
S002,S002-Q046,True,"[""PREVIOUS_TURN"", ""CONTINUATION""]",True,False,True,False,True,True,True,True
S002,S002-Q047,True,"[""EARLIER_CONTEXT""]",False,False,True,True,True,True,True,True
S002,S002-Q048,True,"[""PREVIOUS_TURN""]",False,False,True,True,True,True,True,True
S002,S002-Q049,True,"[""EARLIER_CONTEXT""]",False,False,True,False,True,True,False,False
