session_id,session_code,query_id,gold_page_id,baseline_dense_rank,baseline_hit5,D0_rank,D0_hit5,D0_movement,D1_rank,D1_hit5,D1_movement,D2_rank,D2_hit5,D2_movement
S001_贵州茅台_投研,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,3,True,3,True,PRESERVED_HIT,3,True,PRESERVED_HIT,3,True,PRESERVED_HIT
S001_贵州茅台_投研,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,6,False,5,True,PROMOTED_INTO_TOP5,6,False,STILL_MISS,5,True,PROMOTED_INTO_TOP5
S001_贵州茅台_投研,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,1,True,2,True,PRESERVED_HIT,2,True,PRESERVED_HIT,2,True,PRESERVED_HIT
S001_贵州茅台_投研,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,9,False,5,True,PROMOTED_INTO_TOP5,4,True,PROMOTED_INTO_TOP5,5,True,PROMOTED_INTO_TOP5
S001_贵州茅台_投研,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,7,False,1,True,PROMOTED_INTO_TOP5,2,True,PROMOTED_INTO_TOP5,1,True,PROMOTED_INTO_TOP5
S001_贵州茅台_投研,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,1,True,2,True,PRESERVED_HIT,1,True,PRESERVED_HIT,2,True,PRESERVED_HIT
S001_贵州茅台_投研,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,6,False,8,False,STILL_MISS,7,False,STILL_MISS,8,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,16,False,13,False,STILL_MISS,8,False,STILL_MISS,13,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,13,False,11,False,STILL_MISS,9,False,STILL_MISS,11,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,21,False,2,True,PROMOTED_INTO_TOP5,3,True,PROMOTED_INTO_TOP5,2,True,PROMOTED_INTO_TOP5
S001_贵州茅台_投研,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,4,True,17,False,DEMOTED_OUT_OF_TOP5,20,False,DEMOTED_OUT_OF_TOP5,17,False,DEMOTED_OUT_OF_TOP5
S001_贵州茅台_投研,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,2,True,14,False,DEMOTED_OUT_OF_TOP5,16,False,DEMOTED_OUT_OF_TOP5,14,False,DEMOTED_OUT_OF_TOP5
S001_贵州茅台_投研,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,2,True,3,True,PRESERVED_HIT,4,True,PRESERVED_HIT,3,True,PRESERVED_HIT
S001_贵州茅台_投研,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,20,False,23,False,STILL_MISS,23,False,STILL_MISS,23,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,27,False,20,False,STILL_MISS,20,False,STILL_MISS,20,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,3,True,5,True,PRESERVED_HIT,9,False,DEMOTED_OUT_OF_TOP5,5,True,PRESERVED_HIT
S001_贵州茅台_投研,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,11,False,11,False,STILL_MISS,4,True,PROMOTED_INTO_TOP5,11,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,6,False,15,False,STILL_MISS,14,False,STILL_MISS,15,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,15,False,15,False,STILL_MISS,19,False,STILL_MISS,15,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,29,False,26,False,STILL_MISS,26,False,STILL_MISS,26,False,STILL_MISS
S001_贵州茅台_投研,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,13,False,2,True,PROMOTED_INTO_TOP5,6,False,STILL_MISS,2,True,PROMOTED_INTO_TOP5
S002_贵州茅台_内审,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,3,True,3,True,PRESERVED_HIT,3,True,PRESERVED_HIT,3,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,6,False,1,True,PROMOTED_INTO_TOP5,1,True,PROMOTED_INTO_TOP5,1,True,PROMOTED_INTO_TOP5
S002_贵州茅台_内审,S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,3,True,5,True,PRESERVED_HIT,5,True,PRESERVED_HIT,5,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,9,False,4,True,PROMOTED_INTO_TOP5,5,True,PROMOTED_INTO_TOP5,4,True,PROMOTED_INTO_TOP5
S002_贵州茅台_内审,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,5,True,7,False,DEMOTED_OUT_OF_TOP5,9,False,DEMOTED_OUT_OF_TOP5,7,False,DEMOTED_OUT_OF_TOP5
S002_贵州茅台_内审,S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,3,True,1,True,PRESERVED_HIT,2,True,PRESERVED_HIT,1,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,13,False,5,True,PROMOTED_INTO_TOP5,9,False,STILL_MISS,5,True,PROMOTED_INTO_TOP5
S002_贵州茅台_内审,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,4,True,2,True,PRESERVED_HIT,3,True,PRESERVED_HIT,2,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,11,False,17,False,STILL_MISS,12,False,STILL_MISS,17,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,6,False,17,False,STILL_MISS,18,False,STILL_MISS,17,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,9,False,13,False,STILL_MISS,15,False,STILL_MISS,13,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,8,False,5,True,PROMOTED_INTO_TOP5,3,True,PROMOTED_INTO_TOP5,5,True,PROMOTED_INTO_TOP5
S002_贵州茅台_内审,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,4,True,4,True,PRESERVED_HIT,3,True,PRESERVED_HIT,4,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,11,False,19,False,STILL_MISS,18,False,STILL_MISS,19,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,8,False,16,False,STILL_MISS,15,False,STILL_MISS,16,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,12,False,14,False,STILL_MISS,15,False,STILL_MISS,14,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,1,True,3,True,PRESERVED_HIT,3,True,PRESERVED_HIT,3,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,5,True,17,False,DEMOTED_OUT_OF_TOP5,16,False,DEMOTED_OUT_OF_TOP5,17,False,DEMOTED_OUT_OF_TOP5
S002_贵州茅台_内审,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,40,False,32,False,STILL_MISS,32,False,STILL_MISS,32,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,11,False,8,False,STILL_MISS,8,False,STILL_MISS,8,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,5,True,3,True,PRESERVED_HIT,3,True,PRESERVED_HIT,3,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,2,True,2,True,PRESERVED_HIT,2,True,PRESERVED_HIT,2,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,5,True,19,False,DEMOTED_OUT_OF_TOP5,19,False,DEMOTED_OUT_OF_TOP5,19,False,DEMOTED_OUT_OF_TOP5
S002_贵州茅台_内审,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,5,True,18,False,DEMOTED_OUT_OF_TOP5,19,False,DEMOTED_OUT_OF_TOP5,18,False,DEMOTED_OUT_OF_TOP5
S002_贵州茅台_内审,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,13,False,6,False,STILL_MISS,7,False,STILL_MISS,6,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,34,False,41,False,STILL_MISS,41,False,STILL_MISS,41,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,19,False,26,False,STILL_MISS,26,False,STILL_MISS,26,False,STILL_MISS
S002_贵州茅台_内审,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,1,True,4,True,PRESERVED_HIT,4,True,PRESERVED_HIT,4,True,PRESERVED_HIT
S002_贵州茅台_内审,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,10,False,22,False,STILL_MISS,22,False,STILL_MISS,22,False,STILL_MISS
